,Shareholding in CCASS,Shares Percentage,Stock Name,Stock code
557,"                                8,541,197                            ",                                0.10%                            ,"                                INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO.,LTD. (A #601216)                            ",                                91216                            
558,"                                3,025,635                            ",                                0.30%                            ,"                                JIANGSU SINOJIT WIND ENERGY TECHNOLOGY CO,.LTD. (A #601218)                            ",                                91218                            
559,"                                3,249,677                            ",                                0.18%                            ,"                                JIANGSU LINYANG ENERGY CO., LTD. (A #601222)                            ",                                91222                            
560,"                                135,827                            ",                                0.00%                            ,                                SHAANXI COAL INDUSTRY COMPANY LIMITED (A #601225)                            ,                                91225                            
561,"                                1,670,474                            ",                                0.41%                            ,"                                HUADIAN HEAVY INDUSTRIES CO.,LTD. (A #601226)                            ",                                91226                            
562,"                                1,049,554                            ",                                0.17%                            ,"                                BANK OF SHANGHAI CO.,LTD. (A #601229)                            ",                                91229                            
563,"                                17,811,368                            ",                                0.81%                            ,"                                UNIVERSAL SCIENTIFIC INDUSTRIAL(SHANGHAI)CO.,LTD. (A #601231)                            ",                                91231                            
564,"                                919,107                            ",                                0.07%                            ,"                                TONGKUN GROUP CO,LTD (A #601233)                            ",                                91233                            
565,"                                6,173,687                            ",                                0.14%                            ,"                                GUANGZHOU AUTOMOBILE GROUP CO.,LTD. (A #601238)                            ",                                91238                            
566,"                                2,401,869                            ",                                0.03%                            ,"                                PANG DA AUTOMOBILE TRADE CO., LTD. (A #601258)                            ",                                91258                            
567,"                                409,803,901                            ",                                0.13%                            ,                                AGRICULTURAL BANK OF CHINA LIMITED (A #601288)                            ,                                91288                            
568,"                                2,934,621                            ",                                0.34%                            ,"                                CAMEL GROUP CO.,LTD. (A #601311)                            ",                                91311                            
569,"                                401,966                            ",                                0.10%                            ,                                SJEC CORPORATION (A #601313)                            ,                                91313                            
570,"                                320,473,927                            ",                                2.95%                            ,"                                PING AN INSURANCE (GROUP) COMPANY OF CHINA, LTD. (A #601318)                            ",                                91318                            
571,"                                219,320,693                            ",                                0.55%                            ,"                                BANK OF COMMUNICATIONS CO.,LTD. (A #601328)                            ",                                91328                            
572,"                                30,218,867                            ",                                0.53%                            ,                                GUANGSHEN RAILWAY COMPANY LIMITED (A #601333)                            ,                                91333                            
573,"                                7,278,125                            ",                                0.34%                            ,                                NEW CHINA LIFE INSURANCE COMPANY LTD. (A #601336)                            ,                                91336                            
574,"                                18,537,166                            ",                                1.23%                            ,"                                BROS EASTERN CO., LTD. (A #601339)                            ",                                91339                            
575,"                                190,979                            ",                                0.06%                            ,                                GUANGXI NANNING WATERWORKS COMPANY LIMITED. (A #601368)                            ,                                91368                            
576,"                                4,188,174                            ",                                0.25%                            ,"                                XI'AN SHAANGU POWER CO., LTD. (A #601369)                            ",                                91369                            
577,"                                1,289,773                            ",                                0.18%                            ,"                                CENTRAL CHINA SECURITIES CO., LTD. (A #601375)                            ",                                91375                            
578,"                                12,651,452                            ",                                0.18%                            ,"                                INDUSTRIAL SECURITIES CO.,LTD (A #601377)                            ",                                91377                            
579,                                380                            ,                                0.00%                            ,                                YECHIU METAL RECYCLING (CHINA) LTD. (A #601388)                            ,                                91388                            
580,"                                56,650,423                            ",                                0.30%                            ,                                CHINA RAILWAY GROUP LIMITED (A #601390)                            ,                                91390                            
581,"                                479,967,818                            ",                                0.17%                            ,                                INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED (A #601398)                            ,                                91398                            
582,"                                9,646,573                            ",                                0.86%                            ,"                                SHANTOU DONGFENG PRINTING CO.,LTD. (A #601515)                            ",                                91515                            
583,"                                3,790,001                            ",                                0.13%                            ,"                                SOOCHOW SECURITIES CO.,LTD. (A #601555)                            ",                                91555                            
584,"                                250,594                            ",                                0.04%                            ,"                                JOEONE CO.,LTD. (A #601566)                            ",                                91566                            
585,"                                2,400,592                            ",                                0.19%                            ,"                                NINGBO SANXING MEDICAL ELECTRIC CO., LTD. (A#601567)                            ",                                91567                            
586,"                                8,837,790                            ",                                0.33%                            ,                                BEIJING NORTH STAR COMPANY LIMITED (A #601588)                            ,                                91588                            
587,"                                1,500                            ",                                0.00%                            ,                                SHANGHAI FILM CORPORATION (A #601595)                            ,                                91595                            
588,"                                59,973,341                            ",                                0.54%                            ,                                ALUMINUM CORPORATION OF CHINA LIMITED (A #601600)                            ,                                91600                            
589,"                                42,216,624                            ",                                0.67%                            ,"                                CHINA PACIFIC INSURANCE (GROUP) CO., LTD. (A #601601)                            ",                                91601                            
590,"                                9,920,878                            ",                                0.51%                            ,"                                SHANGHAI PHARMACEUTICALS HOLDING CO., LTD. (A #601607)                            ",                                91607                            
591,"                                5,448,709                            ",                                0.12%                            ,"                                CITIC HEAVY INDUSTRIES CO.,LTD. (A #601608)                            ",                                91608                            
592,"                                973,505                            ",                                0.10%                            ,                                CHINA NUCLEAR ENGINEERING CORPORATION LIMITED (A #601611)                            ,                                91611                            
593,"                                14,798,999                            ",                                0.09%                            ,                                METALLURGICAL CORPORATION OF CHINA LTD. (A #601618)                            ,                                91618                            
594,"                                31,379,871                            ",                                0.15%                            ,                                CHINA LIFE INSURANCE COMPANY LIMITED (A #601628)                            ,                                91628                            
595,"                                21,210,390                            ",                                0.35%                            ,                                GREAT WALL MOTOR COMPANY LIMITED (A #601633)                            ,                                91633                            
596,"                                32,577,990                            ",                                1.31%                            ,"                                ZHUZHOU KIBING GROUP CO., LTD (A #601636)                            ",                                91636                            
597,"                                14,014,727                            ",                                0.59%                            ,"                                PINGDINGSHAN TIANAN COAL MINING CO., LTD. (A #601666)                            ",                                91666                            
598,"                                154,892,418                            ",                                0.52%                            ,                                CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED (A #601668)                            ,                                91668                            
599,"                                17,693,026                            ",                                0.18%                            ,"                                POWER CONSTRUCTION CORPORATION OF CHINA,LTD.(POWERCHINA LTD.) (A #601669)                            ",                                91669                            
600,"                                1,775,732                            ",                                0.14%                            ,"                                BEFAR GROUP CO.,LTD (A #601678)                            ",                                91678                            
601,"                                43,320,140                            ",                                0.79%                            ,"                                HUATAI SECURITIES CO.,LTD (A #601688)                            ",                                91688                            
602,"                                2,521,789                            ",                                1.47%                            ,"                                NINGBO TUOPU GROUP CO.,LTD. (A #601689)                            ",                                91689                            
603,"                                18,824,184                            ",                                0.62%                            ,"                                SHANXI LU'AN ENVIRONMENTAL ENERGY DEVELOPMENT CO.,LTD. (A #601699)                            ",                                91699                            
604,"                                1,311,953                            ",                                0.11%                            ,"                                CHANGSHU FENGFAN POWER EQUIPMENT CO.,LTD (A #601700)                            ",                                91700                            
605,"                                6,572,205                            ",                                0.47%                            ,"                                ZHENGZHOU COAL MINING MACHINERY GROUP CO.,LTD (A #601717)                            ",                                91717                            
606,"                                3,991,902                            ",                                0.10%                            ,                                JIHUA GROUP CORPORATION LIMITED (A #601718)                            ,                                91718                            
607,"                                7,936,739                            ",                                0.08%                            ,                                SHANGHAI ELECTRIC GROUP COMPANY LIMITED (A #601727)                            ,                                91727                            
608,"                                73,626,461                            ",                                0.32%                            ,                                CRRC CORPORATION LIMITED (A #601766)                            ,                                91766                            
609,"                                2,211,175                            ",                                0.17%                            ,"                                LIFAN INDUSTRY (GROUP) CO., LTD (A #601777)                            ",                                91777                            
610,"                                8,969,481                            ",                                0.22%                            ,                                EVERBRIGHT SECURITIES COMPANY LIMITED (A #601788)                            ,                                91788                            
611,"                                232,915                            ",                                0.02%                            ,"                                NINGBO CONSTRUCTION CO., LTD (A #601789)                            ",                                91789                            
612,"                                25,342                            ",                                0.00%                            ,                                LANPEC TECHNOLOGIES LIMITED (A #601798)                            ,                                91798                            
613,"                                800,966                            ",                                0.33%                            ,"                                CHANGZHOU XINGYU AUTOMOTIVE LIGHTING SYSTEMS CO., LTD (A #601799)                            ",                                91799                            
614,"                                22,390,424                            ",                                0.19%                            ,"                                CHINA COMMUNICATIONS CONSTRUCTION CO.,LTD (A #601800)                            ",                                91800                            
615,"                                897,516                            ",                                0.04%                            ,"                                ANHUI XINHUA MEDIA CO., LTD (A #601801)                            ",                                91801                            
616,"                                1,160,012                            ",                                0.03%                            ,                                CHINA OILFIELD SERVICES LIMITED (A #601808)                            ,                                91808                            
617,"                                8,639                            ",                                0.00%                            ,"                                XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD. (A # 601811)                            ",                                91811                            
618,"                                131,815,548                            ",                                0.33%                            ,                                CHINA EVERBRIGHT BANK COMPANY LIMITED (A #601818)                            ,                                91818                            
619,"                                40,608,482                            ",                                0.02%                            ,                                PETROCHINA COMPANY LIMITED (A #601857)                            ,                                91857                            
620,"                                6,414,279                            ",                                0.08%                            ,"                                COSCO SHIPPING DEVELOPMENT CO., LTD. (A #601866)                            ",                                91866                            
621,"                                2,554,139                            ",                                0.05%                            ,"                                CHINA MERCHANTS ENERGY SHIPPING CO., LTD. (A #601872)                            ",                                91872                            
622,"                                2,441,301                            ",                                0.18%                            ,"                                ZHEJIANG CHINT ELECTRICS CO.,LTD (A #601877)                            ",                                91877                            
623,"                                1,973,748                            ",                                0.02%                            ,                                DALIAN PORT (PDA) COMPANY LIMITED (A #601880)                            ,                                91880                            
624,"                                2,034,621                            ",                                0.33%                            ,"                                CHINA GALAXY SECURITIES CO., LTD. (A #601881)                            ",                                91881                            
625,"                                1,097,896                            ",                                0.09%                            ,"                                JANGHO GROUP CO., LTD. (A #601886)                            ",                                91886                            
626,"                                94,386,901                            ",                                4.83%                            ,                                CHINA INTERNATIONAL TRAVEL SERVICE CORPORATION LIMITED (A #601888)                            ,                                91888                            
627,"                                381,293                            ",                                0.03%                            ,"                                ASIAN STAR ANCHOR CHAIN CO.,LTD.JIANGSU (A #601890)                            ",                                91890                            
628,"                                7,206,290                            ",                                0.07%                            ,                                CHINA COAL ENERGY COMPANY LIMITED (A #601898)                            ,                                91898                            
629,"                                93,899,743                            ",                                0.59%                            ,                                ZIJIN MINING GROUP COMPANY LIMITED (A #601899)                            ,                                91899                            
630,"                                1,236,174,856                            ",                                19.65%                            ,"                                FOUNDER SECURITIES CO., LTD. (A #601901)                            ",                                91901                            
631,"                                2,074,417                            ",                                0.10%                            ,"                                BEIJING JINGYUNTONG TECHNOLOGY CO.,LTD. (A #601908)                            ",                                91908                            
632,"                                2,191,827                            ",                                0.08%                            ,"                                CHINA COAL XINJI ENERGY CO., LTD (A #601918)                            ",                                91918                            
633,"                                16,329,257                            ",                                0.21%                            ,"                                COSCO SHIPPING HOLDINGS CO., LTD. (A #601919)                            ",                                91919                            
634,"                                5,154,983                            ",                                0.20%                            ,                                JIANGSU PHOENIX PUBLISHING&MEDIA; CORPORATION LIMITED (A #601928)                            ,                                91928                            
635,"                                1,451,607                            ",                                0.04%                            ,"                                JISHI MEDIA CO., LTD. (A #601929)                            ",                                91929                            
636,"                                60,186,416                            ",                                0.92%                            ,"                                YONGHUI SUPERSTORES CO., LTD. (A #601933)                            ",                                91933                            
637,"                                323,677,106                            ",                                3.37%                            ,                                CHINA CONSTRUCTION BANK CORPORATION (A #601939)                            ,                                91939                            
638,"                                3,440,741                            ",                                0.10%                            ,"                                JINDUICHENG MOLYBDENUM CO.,LTD (A #601958)                            ",                                91958                            
639,"                                29,940                            ",                                0.00%                            ,"                                CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUE CO.,LTD (A #601965)                            ",                                91965                            
640,"                                202,457                            ",                                0.05%                            ,"                                SHANDONG LINGLONG TYRE CO., LTD. (A #601966)                            ",                                91966                            
641,"                                93,336                            ",                                0.02%                            ,"                                SHANGHAI BAOSTEEL PACKAGING CO.,LTD. (A #601968)                            ",                                91968                            
642,"                                580,368                            ",                                0.06%                            ,"                                HAINAN MINING CO.,LTD (A #601969)                            ",                                91969                            
643,"                                28,015,719                            ",                                0.66%                            ,"                                CHINA NATIONAL NUCLEAR POWER CO., LTD. (A #601985)                            ",                                91985                            
644,"                                445,696,854                            ",                                0.21%                            ,                                BANK OF CHINA LIMITED (A #601988)                            ,                                91988                            
645,"                                84,575,523                            ",                                0.46%                            ,                                CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED (A #601989)                            ,                                91989                            
646,"                                6,255,319                            ",                                0.06%                            ,"                                DATANG INTERNATIONAL POWER GENERATION CO.,LTD. (A #601991)                            ",                                91991                            
647,"                                11,342,504                            ",                                0.13%                            ,                                BBMG CORPORATION (A #601992)                            ,                                91992                            
648,"                                6,959,656                            ",                                0.74%                            ,"                                GUANGXI FENGLIN WOOD LNDUSTRY GROUP CO.,LTD. (A #601996)                            ",                                91996                            
649,"                                426,926                            ",                                0.08%                            ,                                BANK OF GUIYANG CO.LTD. (A #601997)                            ,                                91997                            
650,"                                34,816,664                            ",                                0.10%                            ,                                CHINA CITIC BANK CORPORATION LIMITED (A #601998)                            ,                                91998                            
651,"                                2,654,626                            ",                                0.24%                            ,"                                PEOPLE.CN CO.,LTD (A #603000)                            ",                                93000                            
652,                                34                            ,                                0.00%                            ,"                                ZHEJIANG AOKANG SHOES CO., LTD. (A #603001)                            ",                                93001                            
653,"                                166,201                            ",                                0.09%                            ,"                                CHINA WAFER LEVEL CSP CO., LTD (A #603005)                            ",                                93005                            
654,"                                115,150                            ",                                0.03%                            ,"                                XILINMEN FURNITURE CO.,LTD. (A #603008)                            ",                                93008                            
655,                                600                            ,                                0.00%                            ,"                                SHANGHAI BEITE TECHNOLOGY CO.,LTD. (A #603009)                            ",                                93009                            
656,"                                1,086,615                            ",                                0.27%                            ,"                                DAWNING INFORMATION INDUSTRY CO., LTD. (A #603019)                            ",                                93019                            
657,"                                88,631                            ",                                0.17%                            ,                                BEIJING DAHAO TECHNOLOGY CORPORATION LIMITED (A #603025)                            ,                                93025                            
658,"                                142,836,146                            ",                                1.96%                            ,"                                SICHUAN HEBANG BIOTECHNOLOGY CO., LTD. (A#603077)                            ",                                93077                            
659,"                                1,493                            ",                                0.00%                            ,                                CENTER INTERNATIONAL GROUP COMPANY LIMITED (A #603098)                            ,                                93098                            
660,"                                405,319                            ",                                0.18%                            ,"                                SHANGHAI RUNDA MEDICAL TECHNOLOGY CO.,LTD (A #603108)                            ",                                93108                            
661,"                                717,017                            ",                                0.18%                            ,"                                NANJING KANGNI MECHANICAL & ELECTRICAL CO., LTD. (A #603111)                            ",                                93111                            
662,"                                96,766                            ",                                0.05%                            ,"                                ZHEJIANG RED DRAGONFLY FOOTWEAR CO., LTD. (A #603116)                            ",                                93116                            
663,"                                767,169                            ",                                0.20%                            ,"                                SHENZHEN GONGJIN ELECTRONICS CO.,LTD. (A #603118)                            ",                                93118                            
664,"                                728,219                            ",                                0.33%                            ,                                SINOMA ENERGY CONSERVATION LTD. (A #603126)                            ,                                93126                            
665,"                                1,496,704                            ",                                0.18%                            ,                                CTS INTERNATIONAL LOGISTICS CORPORATION LIMITED (A #603128)                            ,                                93128                            
666,"                                64,000                            ",                                0.14%                            ,"                                SHENZHEN HUIDING TECHNOLOGY CO.,LTD. (A #603160)                            ",                                93160                            
667,"                                5,600                            ",                                0.01%                            ,"                                ZHEJIANG RONGSHENG ENVIRONMENTAL PROTECTION PAPER CO.,LTD (A #603165)                            ",                                93165                            
668,"                                77,397                            ",                                0.01%                            ,"                                BOHAI FERRY CO.,LTD. (A #603167)                            ",                                93167                            
669,"                                320,394                            ",                                0.14%                            ,"                                ZHEJIANG SHAPUAISI PHARMACEUTICAL CO., LTD. (A #603168)                            ",                                93168                            
670,"                                632,811                            ",                                0.13%                            ,"                                LANZHOU LS HEAVY EQUIPMENT CO .,LTD. (A #603169)                            ",                                93169                            
671,"                                691,548                            ",                                0.18%                            ,"                                JIANGSU YABANG DYESTUFF CO.,LTD. (A #603188)                            ",                                93188                            
672,"                                38,941                            ",                                0.02%                            ,"                                ANHUI YINGJIA DISTILLERY CO.,LTD. (A #603198)                            ",                                93198                            
673,"                                12,115                            ",                                0.02%                            ,"                                SHENZHEN KINWONG ELECTRONIC CO.,LTD. (A #603228)                            ",                                93228                            
674,"                                143,630                            ",                                0.21%                            ,"                                ZHEJIANG XIANTONG RUBBER & PLASTIC CO.,LTD (A #603239)                            ",                                93239                            
675,"                                89,659,646                            ",                                3.32%                            ,                                FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY LTD. (A #603288)                            ,                                93288                            
676,"                                3,700                            ",                                0.00%                            ,"                                HANGCHA GROUP.,LTD. (A #603298)                            ",                                93298                            
677,"                                226,321                            ",                                0.30%                            ,"                                HMT (XIAMEN) NEW TECHNICAL MATERIALS CO.,LTD. (A #603306)                            ",                                93306                            
678,"                                563,722                            ",                                0.14%                            ,"                                ANHUI YINGLIU ELECTROMECHANICAL CO.,LTD (A #603308)                            ",                                93308                            
679,"                                2,396,443                            ",                                0.24%                            ,"                                GUANGDONG ELLINGTON ELECTRONICS TECHNOLOGY CO., LTD. (A #603328)                            ",                                93328                            
680,"                                982,814                            ",                                2.12%                            ,"                                ZHEJIANG DINGLI MACHINERY CO.,LTD (A #603338)                            ",                                93338                            
681,"                                91,288                            ",                                0.16%                            ,"                                NANTONG SQUARE COLD CHAIN EQUIPMENT CO.,LTD. (A #603339)                            ",                                93339                            
682,"                                1,498,756                            ",                                2.24%                            ,"                                KINGCLEAN ELECTRIC CO.,LTD (A #603355)                            ",                                93355                            
683,"                                3,700                            ",                                0.00%                            ,"                                HUADA AUTOMOTIVE TECHNOLOGY CO.,LTD. (A #603358)                            ",                                93358                            
684,"                                20,000                            ",                                0.00%                            ,"                                JIANGSU SUNRAIN SOLAR ENERGY CO.,LTD (A #603366)                            ",                                93366                            
685,"                                947,356                            ",                                1.26%                            ,"                                GUANGXI LIUZHOU PHARMACEUTICAL CO.,LTD. (A #603368)                            ",                                93368                            
686,"                                1,104,659                            ",                                0.08%                            ,"                                JIANGSU KING'S LUCK BREWERY JOINT - STOCK CO., LTD (A #603369)                            ",                                93369                            
687,"                                22,700                            ",                                0.00%                            ,"                                JINZHOU NEW CHINA DRAGON MOLYBDENUM CO.,LTD (A #603399)                            ",                                93399                            
688,"                                9,900                            ",                                0.05%                            ,"                                G-BITS NETWORK TECHNOLOGY(XIAMEN)CO., LTD (A #603444)                            ",                                93444                            
689,"                                139,268                            ",                                0.21%                            ,"                                HENAN THINKER AUTOMATIC EQUIPMENT CO.,LTD (A #603508)                            ",                                93508                            
690,"                                315,600                            ",                                0.54%                            ,"                                OPPLE LIGHTING CO.,LTD. (A #603515)                            ",                                93515                            
691,"                                22,573                            ",                                0.01%                            ,                                NANJING DORON TECHNOLOGY CORPORATION LTD. (A #603528)                            ,                                93528                            
692,"                                1,033,982                            ",                                0.16%                            ,"                                GUIRENNIAO CO., LTD. (A #603555)                            ",                                93555                            
693,"                                13,348                            ",                                0.01%                            ,"                                HEXING ELECTRICAL CO.,LTD (A #603556)                            ",                                93556                            
694,"                                123,764                            ",                                0.04%                            ,"                                HEILONGJIANG ZBD PHARMACEUTICAL CO., LTD. (A #603567)                            ",                                93567                            
695,"                                180,843                            ",                                0.13%                            ,"                                ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO.,LTD. (A #603568)                            ",                                93568                            
696,"                                1,000                            ",                                0.00%                            ,"                                SULI CO.,LTD. (A #603585)                            ",                                93585                            
697,"                                219,815                            ",                                0.04%                            ,"                                BEIJING GEOENVIRON ENGINEERING & TECHNOLOGY, INC. (A #603588)                            ",                                93588                            
698,"                                22,347,628                            ",                                7.61%                            ,"                                ANHUI KOUZI DISTILLERY CO., LTD. (A #603589)                            ",                                93589                            
